Date,PX_LAST,PX_BID
2026-06-30 00:00:00,570,550
2026-05-31 00:00:00,605,580
2026-04-30 00:00:00,595,580
2026-03-31 00:00:00,505,490
2026-02-28 00:00:00,372.5,360
2026-01-31 00:00:00,345,330
2025-12-31 00:00:00,337.5,330
2025-11-30 00:00:00,337.5,330
2025-10-31 00:00:00,282.5,275
2025-09-30 00:00:00,230,220
2025-08-31 00:00:00,200,185
2025-07-31 00:00:00,200,185
2025-06-30 00:00:00,175,165
2025-05-31 00:00:00,210,200
2025-04-30 00:00:00,205,200
2025-03-31 00:00:00,235,230
2025-02-28 00:00:00,310,300
2025-01-31 00:00:00,357.5,345
2024-12-31 00:00:00,340,330
2024-11-30 00:00:00,340,330
2024-10-31 00:00:00,340,330
2024-09-30 00:00:00,340,330
2024-08-31 00:00:00,340,330
2024-07-31 00:00:00,340,330
2024-06-30 00:00:00,340,330
2024-05-31 00:00:00,340,330
2024-04-30 00:00:00,332.5,315
2024-03-31 00:00:00,267.5,260
2024-02-29 00:00:00,247.5,240
2024-01-31 00:00:00,247.5,240
2023-12-31 00:00:00,190,180
2023-11-30 00:00:00,180,170
2023-10-31 00:00:00,210,200
2023-09-30 00:00:00,235,220
2023-08-31 00:00:00,270,260
2023-07-31 00:00:00,290,280
2023-06-30 00:00:00,310,300
2023-05-31 00:00:00,322.5,315
2023-04-30 00:00:00,322.5,315
2023-03-31 00:00:00,322.5,315
2023-02-28 00:00:00,307.5,300
2023-01-31 00:00:00,287.5,275
2022-12-31 00:00:00,255,235
2022-11-30 00:00:00,260,250
2022-10-31 00:00:00,290,280
2022-09-30 00:00:00,390,370
2022-08-31 00:00:00,490,465
2022-07-31 00:00:00,510,485
2022-06-30 00:00:00,517.5,485
2022-05-31 00:00:00,610,600
2022-04-30 00:00:00,595,580
2022-03-31 00:00:00,585,570
2022-02-28 00:00:00,465,450
2022-01-31 00:00:00,455,440
2021-12-31 00:00:00,320,310
2021-11-30 00:00:00,295,285
2021-10-31 00:00:00,315,305
2021-09-30 00:00:00,385,380
2021-08-31 00:00:00,362.5,355
2021-07-31 00:00:00,340,330
2021-06-30 00:00:00,255,250
2021-05-31 00:00:00,237.5,230
2021-04-30 00:00:00,240,235
2021-03-31 00:00:00,222.5,215
2021-02-28 00:00:00,160,155
2021-01-31 00:00:00,160,155
2020-12-31 00:00:00,142.5,135
2020-11-30 00:00:00,130,125
2020-10-31 00:00:00,135,130
2020-09-30 00:00:00,135,130
2020-08-31 00:00:00,127.5,120
2020-07-31 00:00:00,107.5,100
2020-06-30 00:00:00,107.5,100
2020-05-31 00:00:00,107.5,100
2020-04-30 00:00:00,97.5,90
2020-03-31 00:00:00,142.5,140
2020-02-29 00:00:00,142.5,140
2020-01-31 00:00:00,142.5,140
2019-12-31 00:00:00,130,125
2019-11-30 00:00:00,125,120
2019-10-31 00:00:00,142.5,130
2019-09-30 00:00:00,142.5,130
2019-08-31 00:00:00,142.5,130
2019-07-31 00:00:00,140,130
2019-06-30 00:00:00,137.5,130
2019-05-31 00:00:00,137.5,130
2019-04-30 00:00:00,134,125
2019-03-31 00:00:00,136.5,130
2019-02-28 00:00:00,135,130
2019-01-31 00:00:00,117.5,110
2018-12-31 00:00:00,115,105
2018-11-30 00:00:00,127.5,120
2018-10-31 00:00:00,135,130
2018-09-30 00:00:00,158,150
2018-08-31 00:00:00,153,145
2018-07-31 00:00:00,147.5,140
2018-06-30 00:00:00,159,150
2018-05-31 00:00:00,212.5,200
2018-04-30 00:00:00,225,210
2018-03-31 00:00:00,170,165
2018-02-28 00:00:00,170,165
2018-01-31 00:00:00,168,165
2017-12-31 00:00:00,160,155
2017-11-30 00:00:00,160,155
2017-10-31 00:00:00,155,145
2017-09-30 00:00:00,155,145
2017-08-31 00:00:00,140,135
2017-07-31 00:00:00,136,129
2017-06-30 00:00:00,136,129
2017-05-31 00:00:00,140,135
2017-04-30 00:00:00,140,135
2017-03-31 00:00:00,140,135
2017-02-28 00:00:00,140,135
2017-01-31 00:00:00,132.5,125
2016-12-31 00:00:00,125,120
2016-11-30 00:00:00,125,120
2016-10-31 00:00:00,110,105
2016-09-30 00:00:00,110,105
2016-08-31 00:00:00,112.5,105
2016-07-31 00:00:00,112.5,105
2016-06-30 00:00:00,112.5,105
2016-05-31 00:00:00,116,105
2016-04-30 00:00:00,135,125
2016-03-31 00:00:00,137.5,130
2016-02-29 00:00:00,137.5,130
2016-01-31 00:00:00,150,145
2015-12-31 00:00:00,165,155
2015-11-30 00:00:00,165,155
2015-10-31 00:00:00,135,120
2015-09-30 00:00:00,110,100
2015-08-31 00:00:00,135,115
2015-07-31 00:00:00,160,150
2015-06-30 00:00:00,180,160
2015-05-31 00:00:00,150,140
2015-04-30 00:00:00,152.5,125
2015-03-31 00:00:00,312.5,295
2015-02-28 00:00:00,350,310
2015-01-31 00:00:00,472.5,465
2014-12-31 00:00:00,480,470
2014-11-30 00:00:00,480,470
2014-10-31 00:00:00,522.5,515
2014-09-30 00:00:00,482.5,475
2014-08-31 00:00:00,467.5,460
2014-07-31 00:00:00,460,455
2014-06-30 00:00:00,425,415
2014-05-31 00:00:00,402.5,380
2014-04-30 00:00:00,390,385
2014-03-31 00:00:00,360,350
2014-02-28 00:00:00,357.5,345
2014-01-31 00:00:00,342.5,335
